code|name|vocabulary
A03AB09|isopropamide; oral|ATC
A03AB10|hexocyclium; oral|ATC
A03AB11|poldine; oral|ATC
A03AB12|mepenzolate; oral|ATC
A03AB13|bevonium; oral|ATC
A03AB14|pipenzolate; oral|ATC
A03AB15|diphemanil|ATC
A03AB16|(2-benzhydryloxyethyl)diethyl-methylammonium iodide; oral|ATC
A03AB17|tiemonium iodide|ATC
A03AB18|prifinium bromide|ATC
A03AB19|timepidium bromide|ATC
A03AB21|fenpiverinium|ATC
A03AB53|oxyphenonium, combinations|ATC
A03AC02|dimethylaminopropionylphenothiazine|ATC
A03AC04|nicofetamide|ATC
A03AC05|tiropramide|ATC
A03AD01|papaverine; oral, parenteral|ATC
A03AD02|drotaverine; oral, parenteral|ATC
A03AD30|moxaverine; oral|ATC
A03AE01|alosetron; oral|ATC
A03AE02|[U] tegaserod|ATC
A03AE03|cilansetron|ATC
A03AE04|[U] prucalopride|ATC
A03AX01|fenpiprane|ATC
A03AX02|diisopromine|ATC
A03AX03|chlorbenzoxamine; oral|ATC
A03AX04|pinaverium; oral|ATC
A03AX05|fenoverine|ATC
A03AX06|idanpramine|ATC
A03AX07|proxazole|ATC
A03AX08|alverine|ATC
A03AX09|trepibutone|ATC
A03AX10|isometheptene|ATC
A03AX11|caroverine|ATC
A03AX12|phloroglucinol|ATC
A03AX13|silicones; oral|ATC
A03AX14|valethamate|ATC
A03AX15|menthae piperitae aetheroleum|ATC
A03AX30|trimethyldiphenylpropylamine; oral, parenteral|ATC
A03AX58|alverine, combinations|ATC
A03BA01|atropine; oral, parenteral|ATC
A03BA03|hyoscyamine; oral|ATC
A03BA04|belladonna total alkaloids; oral|ATC
A03BB01|butylscopolamine; oral, parenteral, rectal|ATC
A03BB02|methylatropine; oral|ATC
A03BB03|methylscopolamine; oral, parenteral|ATC
A03BB04|fentonium; oral|ATC
A03BB05|cimetropium bromide|ATC
A03BB06|homatropine methylbromide|ATC
A03CA01|isopropamide and psycholeptics|ATC
A03CA02|clidinium and psycholeptics|ATC
A03CA03|oxyphencyclimine and psycholeptics|ATC
A03CA04|otilonium bromide and psycholeptics|ATC
A03CA05|glycopyrronium bromide and psycholeptics|ATC
A03CA06|bevonium and psycholeptics|ATC
A03CA07|ambutonium and psycholeptics|ATC
A03CA08|diphemanil and psycholeptics|ATC
A03CA09|pipenzolate and psycholeptics|ATC
A03CA30|emepronium and psycholeptics|ATC
A03CA34|propantheline and psycholeptics|ATC
A03CB01|methylscopolamine and psycholeptics|ATC
A03CB02|belladonna total alkaloids and psycholeptics|ATC
A03CB03|atropine and psycholeptics|ATC
A03CB04|homatropine methylbromide and psycholeptics|ATC
A03CB31|hyoscyamine and psycholeptics|ATC
A03DA01|tropenzilone and analgesics|ATC
A03DA02|pitofenone and analgesics|ATC
A03DA03|bevonium and analgesics|ATC
A03DA04|ciclonium and analgesics|ATC
A03DA05|camylofin and analgesics|ATC
A03DA06|trospium and analgesics|ATC
A03DA07|tiemonium iodide and analgesics|ATC
A03DB04|butylscopolamine and analgesics|ATC
A03FA01|metoclopramide; oral, parenteral, rectal|ATC
A03FA02|cisapride; oral, rectal|ATC
A03FA03|domperidone; oral, parenteral, rectal|ATC
A03FA04|bromopride; oral, parenteral|ATC
A03FA05|alizapride; oral, parenteral|ATC
A03FA06|clebopride|ATC
A03FA07|itopride; oral|ATC
A03FA08|cinitapride|ATC
A03FA09|mosapride|ATC
A03FA10|acotiamide|ATC
A04AA01|ondansetron; oral, parenteral, rectal|ATC
A04AA02|granisetron; oral, parenteral, transdermal|ATC
A04AA03|tropisetron; oral, parenteral|ATC
A04AA04|dolasetron; oral, parenteral|ATC
A04AA05|palonosetron; oral, parenteral|ATC
A04AA55|palonosetron, combinations|ATC
A04AD01|scopolamine|ATC
A04AD02|cerium oxalate|ATC
A04AD04|chlorobutanol|ATC
A04AD05|metopimazine; oral, parenteral|ATC
A04AD10|dronabinol|ATC
A04AD11|nabilone; oral|ATC
A04AD12|aprepitant; oral, parenteral|ATC
A04AD13|casopitant|ATC
A04AD14|rolapitant; oral|ATC
A04AD51|scopolamine, combinations|ATC
A04AD54|chlorobutanol, combinations|ATC
A05AA01|chenodeoxycholic acid; oral|ATC
A05AA02|ursodeoxycholic acid; oral|ATC
A05AA03|cholic acid|ATC
A05AA04|obeticholic acid; oral|ATC
A05AA05|ursodoxicoltaurine|ATC
A05AA06|norucholic acid|ATC
A05AB01|nicotinyl methylamide|ATC
A05AX01|piprozolin|ATC
A05AX02|hymecromone|ATC
A05AX03|cyclobutyrol|ATC
A05AX04|maralixibat chloride|ATC
A05AX05|odevixibat|ATC
A05AX06|elafibranor|ATC
A05AX07|seladelpar|ATC
A05AX08|linerixibat|ATC
A05BA01|arginine glutamate|ATC
A05BA03|silymarin|ATC
A05BA04|citiolone|ATC
A05BA05|epomediol|ATC
A05BA06|ornithine oxoglurate|ATC
A05BA07|tidiacic arginine|ATC
A05BA08|glycyrrhizic acid|ATC
A05BA09|metadoxine|ATC
A05BA10|phospholipids|ATC
A05BA11|resmetirom|ATC
A06AA01|liquid paraffin; oral|ATC
A06AA02|docusate sodium; oral|ATC
A06AA51|liquid paraffin, combinations|ATC
A06AB01|oxyphenisatine; oral|ATC
A06AB02|bisacodyl; oral, rectal|ATC
A06AB03|dantron; oral|ATC
A06AB04|phenolphthalein; oral|ATC
A06AB05|castor oil; oral|ATC
A06AB06|senna glycosides|ATC
A06AB07|cascara|ATC
A06AB08|sodium picosulfate; oral|ATC
A06AB09|bisoxatin; oral|ATC
A06AB20|contact laxatives in combination|ATC
A06AB30|contact laxatives in combination with belladonna alkaloids|ATC
A06AB52|bisacodyl, combinations|ATC
A06AB53|dantron, combinations|ATC
A06AB56|senna glycosides, combinations|ATC
A06AB57|cascara, combinations|ATC
A06AB58|sodium picosulfate, combinations|ATC
A06AC01|ispaghula (psylla seeds); oral|ATC
A06AC02|ethulose; oral|ATC
A06AC03|sterculia; oral|ATC
A06AC05|linseed|ATC
A06AC06|methylcellulose; oral|ATC
A06AC07|triticum (wheat fibre); oral|ATC
A06AC08|polycarbophil calcium; oral|ATC
A06AC51|ispaghula, combinations|ATC
A06AC53|sterculia, combinations|ATC
